Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
SD,04-05-2022,1378723,1332632,1248160,392026,60.6
NY,04-05-2022,38464777,37233914,34914071,8459083,76.3
MH,04-05-2022,60962,57388,51977,3157,33.0
NV,04-05-2022,4807437,4691544,4398296,1169330,60.3
NM,04-05-2022,3839635,3706515,3441821,984442,70.5
BP2,04-05-2022,311353,311351,311351,9915,0.0
FM,04-05-2022,118752,105367,93386,7385,52.8
VA,04-05-2022,16131710,15493485,14380257,3618340,72.7
IH2,04-05-2022,2201179,2120445,1940234,387567,41.5
SC,04-05-2022,7374113,7203023,6816202,2251673,56.6
KY,04-05-2022,6416321,6253509,5903380,1770994,57.1
WY,04-05-2022,741946,725391,687016,224524,51.2
TX,04-05-2022,45427470,43693174,40109497,9134545,60.9
VT,04-05-2022,1365596,1310300,1224103,379496,80.7
DD2,04-05-2022,7346886,7232105,6849190,580659,0.0
NJ,04-05-2022,16872406,16291108,15141906,3745450,75.1
OH,04-05-2022,17473293,16986399,16049390,5052648,58.1
OR,04-05-2022,7568899,7318738,6859561,1946420,69.2
MN,04-05-2022,10052793,9633192,8976578,2528559,68.8
IA,04-05-2022,4995515,4848217,4562840,1471082,61.6
CA,04-04-2022,72913100,70215018,64962531,14922470,71.2
US,04-04-2022,562435301,544283941,508484465,138896699,65.6
MI,04-04-2022,15517396,15068353,14219324,4375127,59.8
DD2,04-04-2022,7344836,7230165,6847328,579445,0.0
AL,04-04-2022,6176008,6068041,5763707,1850527,50.7
WV,04-04-2022,2664179,2616750,2491105,861404,57.2
TX,04-04-2022,45390689,43663704,40081819,9121886,60.9
NY,04-04-2022,38442440,37212216,34893051,8447824,76.3
NC,04-04-2022,16377046,15875086,14895572,4309302,60.1
CO,04-04-2022,10461911,10097783,9422154,2246479,69.8
SC,04-04-2022,7374113,7203023,6816202,2251673,56.5
SD,04-04-2022,1376651,1330636,1246227,390821,60.6
GU,04-04-2022,344006,328213,294873,45446,82.2
WY,04-04-2022,740234,723697,685466,223816,51.1
WA,04-04-2022,14070681,13577031,12671850,3209066,72.1
ME,04-04-2022,2737735,2651276,2499375,806454,78.9
IL,04-04-2022,22129401,21239726,19737662,5110271,68.3
VA,04-04-2022,16122168,15484366,14371523,3613564,72.6
NE,04-04-2022,3140267,3031016,2826341,830954,63.2
MH,04-04-2022,60962,57388,51977,3157,33.0
MT,04-04-2022,1554052,1512647,1432219,494846,56.4
NV,04-04-2022,4804882,4689061,4395900,1167994,60.3
LA,04-04-2022,6157930,6039443,5713928,1730527,53.2
IH2,04-04-2022,2200985,2120256,1940051,387498,41.5
AS,04-04-2022,104022,92243,77130,7944,85.4
VT,04-04-2022,1364874,1309581,1223396,379044,80.7
GA,04-04-2022,14592619,14224326,13335599,3456241,54.3
DC,04-04-2022,1464891,1425400,1363994,257414,73.0
IN,04-04-2022,9349236,9106212,8570947,2640950,54.6
RI,04-04-2022,2166216,2096359,1963575,534588,81.7
CT,04-04-2022,7421163,7163318,6653229,1795251,78.5
MP,04-04-2022,107913,99432,87568,8541,83.3
KS,04-04-2022,4510958,4365153,4067177,1212789,60.9
OH,04-04-2022,17465690,16978938,16042112,5048341,58.1
PA,04-04-2022,22410183,21709516,20431188,6256391,67.7
FL,04-04-2022,36678825,35942733,34055656,11817709,66.5
DE,04-04-2022,1756402,1705672,1596928,512933,68.4
MS,04-04-2022,3810844,3737694,3526776,1107943,51.5
MD,04-04-2022,11762680,11298119,10448556,2566480,75.0
PR,04-04-2022,7083193,6772922,6227557,1695921,82.2
NM,04-04-2022,3837533,3704463,3439809,983193,70.4
ID,04-04-2022,2402990,2340635,2200131,694439,53.7
VI,04-04-2022,141701,139289,132409,39742,53.1
NH,04-04-2022,2482560,2412730,2261792,662210,69.5
ND,04-04-2022,1067892,1033054,980796,291744,54.7
MN,04-04-2022,10048670,9629145,8972662,2526302,68.8
OK,04-04-2022,5799308,5666707,5330365,1557727,56.7
VA2,04-04-2022,7263570,7263376,7260045,3830686,0.0
AZ,04-04-2022,11810772,11424465,10630112,3311273,61.0
AR,04-04-2022,4149256,4039983,3783569,1167123,54.0
BP2,04-04-2022,311351,311349,311349,9915,0.0
MA,04-04-2022,14459065,13889643,12949479,3199149,78.2
NJ,04-04-2022,16853597,16272876,15124237,3737879,75.0
HI,04-04-2022,2841230,2734793,2544938,700172,77.8
OR,04-04-2022,7565371,7315261,6856166,1944297,69.2
WI,04-04-2022,10005974,9695952,9116572,2849728,65.1
AK,04-04-2022,1119377,1078962,1002652,215749,61.8
TN,04-04-2022,9730968,9534840,9066246,2818457,54.1
FM,04-04-2022,118752,105367,93386,7385,52.8
IA,04-04-2022,4981191,4834082,4548970,1461600,61.6
MO,04-04-2022,8755076,8519142,8032866,2484851,55.6
KY,04-04-2022,6413117,6250347,5900297,1769242,57.1
UT,04-04-2022,5142688,4912717,4467687,970109,63.9
PW,04-04-2022,47139,44733,41167,4941,84.1
DC,04-03-2022,1463704,1424250,1362870,256822,73.0
PA,04-03-2022,22381132,21682187,20405689,6245390,67.6
TX,04-03-2022,45366185,43643502,40062909,9113664,60.9
MO,04-03-2022,8755076,8519142,8032866,2484851,55.6
PW,04-03-2022,47139,44733,41167,4941,84.1
OR,04-03-2022,7558653,7308677,6849700,1940072,69.2
DE,04-03-2022,1756402,1705672,1596928,512933,68.4
IL,04-03-2022,22108429,21219330,19717929,5099339,68.3
HI,04-03-2022,2841228,2734791,2544936,700172,77.8
ID,04-03-2022,2401602,2339264,2198782,693588,53.7
TN,04-03-2022,9730965,9534837,9066243,2818457,54.1
NY,04-03-2022,38420285,37190678,34872302,8436294,76.3
KS,04-03-2022,4510956,4365151,4067175,1212789,60.9
SC,04-03-2022,7374111,7203021,6816200,2251673,56.5
CA,04-03-2022,72859194,70163743,64913742,14897473,71.2
WV,04-03-2022,2664179,2616750,2491105,861404,57.2
MD,04-03-2022,11755997,11291621,10442311,2563089,75.0
MN,04-03-2022,10040829,9621418,8965094,2521543,68.8
IA,04-03-2022,4981191,4834082,4548970,1461600,61.6
LA,04-03-2022,6155846,6037480,5712060,1729680,53.2
